-40.795 -40.477 -40.200 -40.382 -40.713 -40.383 -40.902 -40.505 -40.771 -40.564
-36.265 -36.108 -36.103 -36.543 -36.417 -36.410 -36.219 -36.571 -35.883 -36.203
-32.060 -32.002 -31.924 -32.052 -32.432 -32.030 -32.162 -32.206 -32.507 -32.029
-28.306 -27.843 -28.118 -28.044 -27.822 -27.975 -27.832 -27.767 -28.088 -28.245
-23.391 -23.858 -24.162 -23.179 -23.872 -23.586 -23.697 -23.302 -23.625 -23.763
-19.593 -18.976 -19.857 -19.568 -19.437 -19.480 -19.733 -19.226 -19.490 -19.968
-15.167 -15.602 -15.658 -15.222 -15.689 -15.278 -15.157 -15.303 -15.240 -15.237
-11.345 -11.445 -11.241 -10.941 -10.906 -11.429 -11.314 -11.166 -11.042 -11.031
-6.730 -6.836 -7.243 -6.675 -6.669 -6.526 -6.677 -6.653 -7.638 -6.860
-2.996 -2.304 -2.692 -2.445 -2.858 -2.304 -2.630 -3.113 -2.567 -2.809
1.189 1.671 1.577 1.374 1.295 1.456 1.768 1.807 1.571 1.663
5.415 5.349 5.837 5.925 5.874 5.383 5.619 5.644 5.485 5.812
10.036 9.905 9.795 9.990 9.924 9.854 10.361 9.781 9.607 10.148
13.978 14.380 13.748 13.966 14.261 13.651 14.198 14.683 14.018 14.252
18.086 18.061 18.425 18.182 18.661 18.544 18.038 18.575 18.532 18.366
22.215 22.332 22.547 22.625 22.636 22.924 22.839 22.243 23.220 22.110
26.881 26.768 27.014 26.636 26.650 26.859 26.894 26.818 26.732 26.714
31.251 30.869 30.890 30.910 30.973 30.981 30.788 31.192 31.069 31.110
35.194 34.971 34.895 35.179 35.344 35.370 35.493 35.215 34.934 35.624
39.205 39.199 39.007 39.344 38.956 39.348 39.494 38.985 39.255 38.797
44.180 43.780 43.037 43.482 43.586 43.633 43.338 42.780 43.432 43.545
